,CID,sections
504,505,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Classification', '6 Information Sources']"
505,506,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
506,507,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
507,508,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Related Records', '6 Information Sources']"
508,509,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
509,510,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Literature', '9 Patents', '10 Taxonomy', '11 Classification', '12 Information Sources']"
510,511,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Literature', '8 Patents', '9 Interactions and Pathways', '10 Taxonomy', '11 Classification', '12 Information Sources']"
511,512,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Literature', '6 Patents', '7 Information Sources']"
512,513,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Literature', '8 Patents', '9 Interactions and Pathways', '10 Taxonomy', '11 Classification', '12 Information Sources']"
513,514,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Classification', '6 Information Sources']"
514,515,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Pharmacology and Biochemistry', '9 Associated Disorders and Diseases', '10 Literature', '11 Patents', '12 Interactions and Pathways', '13 Taxonomy', '14 Classification', '15 Information Sources']"
515,516,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Literature', '7 Patents', '8 Interactions and Pathways', '9 Biological Test Results', '10 Taxonomy', '11 Classification', '12 Information Sources']"
516,517,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
517,518,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
518,519,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
519,520,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Literature', '8 Patents', '9 Interactions and Pathways', '10 Taxonomy', '11 Classification', '12 Information Sources']"
520,521,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Patents', '8 Taxonomy', '9 Classification', '10 Information Sources']"
521,522,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
522,523,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Safety and Hazards', '7 Literature', '8 Patents', '9 Interactions and Pathways', '10 Classification', '11 Information Sources']"
523,524,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Literature', '8 Patents', '9 Interactions and Pathways', '10 Classification', '11 Information Sources']"
524,525,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Food Additives and Ingredients', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Identification', '12 Safety and Hazards', '13 Toxicity', '14 Associated Disorders and Diseases', '15 Literature', '16 Patents', '17 Interactions and Pathways', '18 Biological Test Results', '19 Taxonomy', '20 Classification', '21 Information Sources']"
525,526,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
526,527,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Food Additives and Ingredients', '8 Pharmacology and Biochemistry', '9 Use and Manufacturing', '10 Identification', '11 Safety and Hazards', '12 Toxicity', '13 Associated Disorders and Diseases', '14 Literature', '15 Patents', '16 Interactions and Pathways', '17 Biological Test Results', '18 Taxonomy', '19 Classification', '20 Information Sources']"
527,528,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Pharmacology and Biochemistry', '9 Associated Disorders and Diseases', '10 Literature', '11 Patents', '12 Interactions and Pathways', '13 Taxonomy', '14 Classification', '15 Information Sources']"
528,529,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Literature', '9 Patents', '10 Interactions and Pathways', '11 Biological Test Results', '12 Taxonomy', '13 Classification', '14 Information Sources']"
529,530,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
530,531,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
531,532,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
532,533,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Pharmacology and Biochemistry', '6 Use and Manufacturing', '7 Safety and Hazards', '8 Toxicity', '9 Associated Disorders and Diseases', '10 Literature', '11 Patents', '12 Interactions and Pathways', '13 Taxonomy', '14 Classification', '15 Information Sources']"
533,534,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
534,535,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Drug and Medication Information', '9 Pharmacology and Biochemistry', '10 Safety and Hazards', '11 Toxicity', '12 Literature', '13 Patents', '14 Interactions and Pathways', '15 Biological Test Results', '16 Classification', '17 Information Sources']"
535,536,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
536,537,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
537,538,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
538,539,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
539,540,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Literature', '8 Patents', '9 Interactions and Pathways', '10 Biological Test Results', '11 Taxonomy', '12 Classification', '13 Information Sources']"
540,541,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Use and Manufacturing', '9 Safety and Hazards', '10 Toxicity', '11 Literature', '12 Patents', '13 Interactions and Pathways', '14 Biological Test Results', '15 Taxonomy', '16 Classification', '17 Information Sources']"
541,542,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Literature', '8 Patents', '9 Interactions and Pathways', '10 Classification', '11 Information Sources']"
542,543,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Literature', '8 Patents', '9 Interactions and Pathways', '10 Classification', '11 Information Sources']"
543,544,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Associated Disorders and Diseases', '8 Literature', '9 Patents', '10 Interactions and Pathways', '11 Classification', '12 Information Sources']"
544,545,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Use and Manufacturing', '8 Safety and Hazards', '9 Toxicity', '10 Associated Disorders and Diseases', '11 Literature', '12 Patents', '13 Interactions and Pathways', '14 Biological Test Results', '15 Taxonomy', '16 Classification', '17 Information Sources']"
545,546,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Use and Manufacturing', '9 Safety and Hazards', '10 Toxicity', '11 Literature', '12 Patents', '13 Interactions and Pathways', '14 Biological Test Results', '15 Taxonomy', '16 Classification', '17 Information Sources']"
546,547,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Use and Manufacturing', '9 Safety and Hazards', '10 Associated Disorders and Diseases', '11 Literature', '12 Patents', '13 Interactions and Pathways', '14 Biological Test Results', '15 Taxonomy', '16 Classification', '17 Information Sources']"
547,548,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Literature', '7 Patents', '8 Classification', '9 Information Sources']"
548,549,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
549,550,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Patents', '6 Information Sources']"
550,551,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Literature', '6 Patents', '7 Information Sources']"
551,552,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Information Sources']"
552,553,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Use and Manufacturing', '7 Literature', '8 Patents', '9 Classification', '10 Information Sources']"
553,554,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Literature', '8 Patents', '9 Biological Test Results', '10 Taxonomy', '11 Classification', '12 Information Sources']"
554,555,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Literature', '7 Patents', '8 Classification', '9 Information Sources']"
555,556,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Related Records', '6 Classification', '7 Information Sources']"
556,557,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Safety and Hazards', '9 Literature', '10 Patents', '11 Biological Test Results', '12 Classification', '13 Information Sources']"
557,558,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Pharmacology and Biochemistry', '9 Use and Manufacturing', '10 Toxicity', '11 Associated Disorders and Diseases', '12 Literature', '13 Patents', '14 Interactions and Pathways', '15 Taxonomy', '16 Classification', '17 Information Sources']"
558,559,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Literature', '7 Patents', '8 Classification', '9 Information Sources']"
559,560,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
560,561,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Literature', '8 Patents', '9 Interactions and Pathways', '10 Taxonomy', '11 Classification', '12 Information Sources']"
561,562,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Literature', '6 Patents', '7 Classification', '8 Information Sources']"
562,563,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Food Additives and Ingredients', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Safety and Hazards', '12 Associated Disorders and Diseases', '13 Literature', '14 Patents', '15 Interactions and Pathways', '16 Biological Test Results', '17 Taxonomy', '18 Classification', '19 Information Sources']"
563,564,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Pharmacology and Biochemistry', '9 Use and Manufacturing', '10 Identification', '11 Safety and Hazards', '12 Toxicity', '13 Associated Disorders and Diseases', '14 Literature', '15 Patents', '16 Interactions and Pathways', '17 Biological Test Results', '18 Taxonomy', '19 Classification', '20 Information Sources']"
564,565,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Information Sources']"
565,566,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
566,567,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Literature', '7 Patents', '8 Interactions and Pathways', '9 Classification', '10 Information Sources']"
567,568,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Use and Manufacturing', '9 Identification', '10 Safety and Hazards', '11 Toxicity', '12 Associated Disorders and Diseases', '13 Literature', '14 Patents', '15 Interactions and Pathways', '16 Biological Test Results', '17 Taxonomy', '18 Classification', '19 Information Sources']"
568,569,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Literature', '8 Patents', '9 Interactions and Pathways', '10 Taxonomy', '11 Classification', '12 Information Sources']"
569,570,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Literature', '7 Patents', '8 Classification', '9 Information Sources']"
570,571,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
571,572,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Drug and Medication Information', '7 Pharmacology and Biochemistry', '8 Associated Disorders and Diseases', '9 Literature', '10 Patents', '11 Interactions and Pathways', '12 Biological Test Results', '13 Taxonomy', '14 Classification', '15 Information Sources']"
572,573,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Literature', '8 Patents', '9 Biological Test Results', '10 Taxonomy', '11 Classification', '12 Information Sources']"
573,574,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Information Sources']"
574,575,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Information Sources']"
575,576,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
576,577,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
577,578,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
578,579,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Literature', '7 Patents', '8 Classification', '9 Information Sources']"
579,580,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Classification', '7 Information Sources']"
580,581,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Drug and Medication Information', '9 Use and Manufacturing', '10 Safety and Hazards', '11 Literature', '12 Patents', '13 Biological Test Results', '14 Classification', '15 Information Sources']"
581,582,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Information Sources']"
582,583,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Pharmacology and Biochemistry', '6 Patents', '7 Classification', '8 Information Sources']"
583,584,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Literature', '7 Patents', '8 Classification', '9 Information Sources']"
584,585,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Literature', '7 Patents', '8 Interactions and Pathways', '9 Classification', '10 Information Sources']"
585,586,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Drug and Medication Information', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Identification', '12 Safety and Hazards', '13 Toxicity', '14 Associated Disorders and Diseases', '15 Literature', '16 Patents', '17 Interactions and Pathways', '18 Biological Test Results', '19 Taxonomy', '20 Classification', '21 Information Sources']"
586,587,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Use and Manufacturing', '9 Safety and Hazards', '10 Associated Disorders and Diseases', '11 Literature', '12 Patents', '13 Interactions and Pathways', '14 Classification', '15 Information Sources']"
587,588,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Pharmacology and Biochemistry', '9 Use and Manufacturing', '10 Safety and Hazards', '11 Associated Disorders and Diseases', '12 Literature', '13 Patents', '14 Interactions and Pathways', '15 Biological Test Results', '16 Taxonomy', '17 Classification', '18 Information Sources']"
588,589,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Literature', '6 Patents', '7 Classification', '8 Information Sources']"
589,590,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Literature', '6 Patents', '7 Information Sources']"
590,591,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Pharmacology and Biochemistry', '6 Interactions and Pathways', '7 Information Sources']"
591,592,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Literature', '8 Patents', '9 Taxonomy', '10 Classification', '11 Information Sources']"
592,593,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Literature', '9 Patents', '10 Biological Test Results', '11 Taxonomy', '12 Classification', '13 Information Sources']"
593,594,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Pharmacology and Biochemistry', '9 Use and Manufacturing', '10 Safety and Hazards', '11 Literature', '12 Patents', '13 Interactions and Pathways', '14 Biological Test Results', '15 Taxonomy', '16 Classification', '17 Information Sources']"
594,595,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Drug and Medication Information', '9 Food Additives and Ingredients', '10 Pharmacology and Biochemistry', '11 Use and Manufacturing', '12 Safety and Hazards', '13 Literature', '14 Patents', '15 Interactions and Pathways', '16 Biological Test Results', '17 Taxonomy', '18 Classification', '19 Information Sources']"
595,596,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Drug and Medication Information', '9 Pharmacology and Biochemistry', '10 Literature', '11 Patents', '12 Interactions and Pathways', '13 Biological Test Results', '14 Taxonomy', '15 Classification', '16 Information Sources']"
596,597,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Pharmacology and Biochemistry', '9 Use and Manufacturing', '10 Safety and Hazards', '11 Toxicity', '12 Associated Disorders and Diseases', '13 Literature', '14 Patents', '15 Interactions and Pathways', '16 Biological Test Results', '17 Taxonomy', '18 Classification', '19 Information Sources']"
597,598,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Food Additives and Ingredients', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Safety and Hazards', '12 Toxicity', '13 Literature', '14 Patents', '15 Interactions and Pathways', '16 Biological Test Results', '17 Taxonomy', '18 Classification', '19 Information Sources']"
598,599,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Literature', '8 Patents', '9 Interactions and Pathways', '10 Taxonomy', '11 Classification', '12 Information Sources']"
599,600,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Patents', '7 Taxonomy', '8 Classification', '9 Information Sources']"
600,601,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Literature', '9 Patents', '10 Biological Test Results', '11 Classification', '12 Information Sources']"
601,602,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Food Additives and Ingredients', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Safety and Hazards', '12 Associated Disorders and Diseases', '13 Literature', '14 Patents', '15 Interactions and Pathways', '16 Biological Test Results', '17 Taxonomy', '18 Classification', '19 Information Sources']"
602,603,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Use and Manufacturing', '8 Literature', '9 Patents', '10 Taxonomy', '11 Classification', '12 Information Sources']"
603,604,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Literature', '9 Patents', '10 Interactions and Pathways', '11 Biological Test Results', '12 Taxonomy', '13 Classification', '14 Information Sources']"
604,605,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Interactions and Pathways', '8 Information Sources']"
605,606,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Literature', '7 Classification', '8 Information Sources']"
606,607,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Literature', '9 Patents', '10 Interactions and Pathways', '11 Biological Test Results', '12 Taxonomy', '13 Classification', '14 Information Sources']"
607,608,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Use and Manufacturing', '8 Literature', '9 Patents', '10 Interactions and Pathways', '11 Biological Test Results', '12 Taxonomy', '13 Classification', '14 Information Sources']"
608,609,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Literature', '8 Classification', '9 Information Sources']"
609,610,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Use and Manufacturing', '9 Safety and Hazards', '10 Literature', '11 Patents', '12 Biological Test Results', '13 Taxonomy', '14 Classification', '15 Information Sources']"
610,611,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Drug and Medication Information', '9 Food Additives and Ingredients', '10 Use and Manufacturing', '11 Safety and Hazards', '12 Toxicity', '13 Associated Disorders and Diseases', '14 Literature', '15 Patents', '16 Interactions and Pathways', '17 Biological Test Results', '18 Taxonomy', '19 Classification', '20 Information Sources']"
611,612,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Drug and Medication Information', '8 Food Additives and Ingredients', '9 Agrochemical Information', '10 Pharmacology and Biochemistry', '11 Use and Manufacturing', '12 Identification', '13 Safety and Hazards', '14 Toxicity', '15 Associated Disorders and Diseases', '16 Literature', '17 Patents', '18 Interactions and Pathways', '19 Biological Test Results', '20 Taxonomy', '21 Classification', '22 Information Sources']"
612,613,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Literature', '8 Patents', '9 Taxonomy', '10 Classification', '11 Information Sources']"
613,614,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Food Additives and Ingredients', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Safety and Hazards', '12 Literature', '13 Patents', '14 Interactions and Pathways', '15 Biological Test Results', '16 Taxonomy', '17 Classification', '18 Information Sources']"
614,615,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Related Records', '5 Chemical Vendors', '6 Pharmacology and Biochemistry', '7 Literature', '8 Patents', '9 Interactions and Pathways', '10 Information Sources']"
615,616,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Literature', '8 Taxonomy', '9 Classification', '10 Information Sources']"
616,617,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Food Additives and Ingredients', '9 Pharmacology and Biochemistry', '10 Use and Manufacturing', '11 Safety and Hazards', '12 Literature', '13 Patents', '14 Interactions and Pathways', '15 Biological Test Results', '16 Taxonomy', '17 Classification', '18 Information Sources']"
617,618,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Pharmacology and Biochemistry', '8 Associated Disorders and Diseases', '9 Literature', '10 Patents', '11 Interactions and Pathways', '12 Biological Test Results', '13 Classification', '14 Information Sources']"
618,619,"['1 Structures', '2 Names and Identifiers', '3 Chemical and Physical Properties', '4 Spectral Information', '5 Related Records', '6 Chemical Vendors', '7 Literature', '8 Patents', '9 Biological Test Results', '10 Taxonomy', '11 Classification', '12 Information Sources']"
619,620,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Taxonomy', '9 Classification', '10 Information Sources']"
620,621,"['1 Structures', '2 Biologic Description', '3 Names and Identifiers', '4 Chemical and Physical Properties', '5 Spectral Information', '6 Related Records', '7 Chemical Vendors', '8 Literature', '9 Patents', '10 Biological Test Results', '11 Taxonomy', '12 Classification', '13 Information Sources']"
